No,Jenis OPTK,Kategori,NAMA OPTK,INANG/HOST,MP,DAERAH SEBAR
1,SERANGGA,A1,"""Chrysodeixis includens (Walker, 1858); (Syn. Autographa oo Stoll, Autographa rogationis, Phalaena oo Stoll, Phytometra oo Cramer,"" Phytometra rogationis, ""Plusia binotula Herrich- Schaffer 1868, Plusia dyaus Grote 1875, Plusia hamifera Walker 1858, Plusia includens Walker 1858, Plusia oo Stoll in Cramer 1782, Plusia rogationis Guenee, Pseudoplusia includens (Walker, 1858), Pseudoplusia pertusa Moschler 1880, Pseudoplusia rogationis (Guenee, 1852) Pusia culta Lintner 1885); (Lepidoptera: Noctuidae); soybean looper""","Abelmoschus esculentus (okra), Allium sativum (bawang putih, garlic), Amaranthus caudatus (love- lies-bleeding), Amaranthus hibridus (smooth pigweed), ""Amaranthus sp. (Amaranth), Ananas comosus (nenas, pineapple), Apium graveolens (seledri, celery), Arachis hypogaea (kaang tanah, groundnut), Asparagus officinalis (asparagus), Brassicca oleraceae (kubis, kubis bunga, cabbage, cauliflower), Brassica oleracea var. italica (brokoli, broccoli), Brassica oleracea var. viridis (collards), Cajanus cajan (pigeon pea), Capsicum annuum (cabai merah, paprika, bell-pepper), Celosia cristata, Chenopodium album, Citrullus lanatus (semangka, watermelon), Cyamopsis tetragonoloba, Daucus carota (wortel, carrot), Dianthus caryophyllus, Eryngium foetidum, Euphorbia pulcherrima,"" ""Parthenium hysterophorus, Parthenium sp., Senecio cineraria (dusty miller), Spinacia oleracea (bayam jepang, spinach), Verbena spp., Zea mays (jagung, corn, maize)"" ""Gerbera jamesonii, Glycine max (kedelai, soyabean), Gossypium hirsutum, Halianthus annuus, Ipomoea batatas (ubi jalar, sweet potato), Lactuca sativa (selada, lettuce), Lepidium virginicum, Matthiola incana, Nasturtium officinale, Nicotiana rustica, Nicotiana tabacum (tembakau, tobacco), Pssiflora edulis (passionfruit), Peperomia obtusifolia, Persea americana (alpukat, avocado), Phaseolus lunatus (lima bena), Petroselinum crispum (peterseli, parsley), Philodendron sp., Portulaca oleracea, Pueraria montana var. lobata (kudzu), Saccharum officinarum,(tebu, sugarcane), Saintpaulia lonantha, Schefflera actinophylla (umbrella tree),"" ""Senecio bicolor, Solanum mycopersicum (tomat, tomato), Solanum melongena (terung, aubergine), Solanum tuberosum (kentang, potato), Sorghum bicolor (sorghum),Aster sp., Calendula officinalis (pot marigold), Bidens pilosa, Chrysanthemum moriflorum, Chrysanthemum sp., Clibadium surinamense, Conyza bonariensis, Conyza canadensis, Emilia fosbergii, Eupatorium sp., Galinsoga sp., Gerbera jamesonii (African daisy), Helianthus annuus, (bunga matahari, sunflower), Helianthus spp., Lactuca sativa (selada, lettuce), Lactuca serriola (prickly lettuce), Mikania cordifolia, Milleria quinqueflora,""","biji (seeds), daun (leaves), buah (fruits), seluruh bagian tanaman (whole plants)","America: Argentina, Bermuda, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Cuba, Dominica, Ecuador, Guyana, Honduras, Jamaica, Montserrat, Nicaragua, Peru, Puerto Rico, ""Saint Kitts and Nevis, Saint Lucia, USA, Venezuela, Virgin Islands Oceania: Australia"""
2,SERANGGA,A1,"Delia antiqua Meigen; (Syn. Anthomyia antiqua, Anthomyia ceparum, Chortophila antiqua, Delia cepetorum, Hylemya antiqua, H. ceparum, Leptohylemyia antique, Pegomyia ceparum, Pegomyia cepetorum, ""Phorbia ceparum, Phorbia cepetorum, Phorbia antiqua); (Diptera: Anthomyiidae); onion maggot, onion fly""","Allium cepa (bawang bombay, onion), Allium ascalonicum (bawang merah, shallot), Allium cepa var. Aggregatum (bawang merah, shallot), Allium porrum (bawang prei, leek), Allium fistulosum, Allium sativum (bawang putih, garlic), Allium schoenoprasum, Allium spp.","batang (stems), daun (leaves), umbi (bulbs, tubers, corms, rhizomes), media tanam (growing media associated with plants), tanah (soil), akar (roots)","""Africa: Egypt America: Antigua and Barbuda, Brazil, Canada, Colombia, Costa Rica, Mexico, USA Asia: Armenia, China, DPR Korea (North Korea), Georgia,"" ""India, Iran, Iraq, Israel, Japan, Kazakhstan, Mongolia, Philippines, Republic of Korea (South Korea), Turkey Europe:  Austria, Belarus, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Finland, France, Germany, Greece, Hungary, Italy, Lithuania, Malta, Moldova, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Spain, Sweden, Switzerland, United Kingdom"""
3,SERANGGA,A1,Eumerus tuberculatus Rondani; (Diptera: Syrphidae); lesser bulb fly,"Allium cepa (bawang bombay, onion), Allium ascalonicum (bawang merah, shallot), Allium sativum (bawang putih, garlic), Brassica oleracea capitata (kubis, cabbage), Calla elliottiana, Crinum asiaticum (bakung, lily), Eurycies spp., Galtonia spp., Gladiolus spp., Hippeastrum spp. (amarilis, amaryllis), Irish spp., Lilia spp., Narcissus spp. (narsisus, narcissus), Pastinaca sativa (parsnip, parsnip), Solanum tuberosum (kentang, potato), Scilla spp., Sprekelia","akar (roots), batang (stems), daun (leaves), umbi (tubers, bulbs), tanah (soil)","Asia: Japan, Taiwan Europe: Spain, United Kingdom Oceania: New Zealand"
4,TUNGAU,A1,"Petrobia latens (O.F. Müller 1776); ""(Syn. Acarus latens Müller, 1776, Acarus petarum Fourcroy, 1785, Acarus praegnans Schrank, 178, Paratetranychus longipes Banks, 1912, Petrobia cepae Sayed, 1946, Petrobia lapidum Oudemans, 1915, Petrobia tritici Ewing, 1921, Tetranobia decepta Banks, 1917, Tetranychia tritici Ewing, 1921, Tetranychopsis paupera Berlese, 1910, Tetranychopsis simplex Tragardh, 1904, Tetranychus anauniensis Canistrini, 1889, Tetranychus longipes Banks, 1912, Trombidium lapidum Hammer, 1804); (Acari: Tetranychidae); brown wheat mite"" ","Allium cepa (bawang bombay, ""onion), Allium sativum (bawang putih, garlic), Avena sterilis (winter wild coat), Clover, Coriandrum sativum (ketumbar, corriander), Cucumis melo (melon, melon), Cucumis sativus (mentimun, cucumber), Cuminum cyminum (jintan, cumin), Daucus carota (wortel, carrot), Echinochloa crus-galli (barnyard grass), Fragaria ananassa (stroberi, strawberry), Gladiolus hybrids (gladiol, sword lily), Gossypium barbadens (kapas, cotton), Iris, Lactuca satuva (selada, lettuce), Hordeum vulgare (barli, barley), Malus domestica (apel, apple), Medicago sativa (alfalfa, lucerne), Oryza sativa (padi, paddy, rice), Setaria viridis (green foxtail), Sorghum"" bicolor (sorgum, sorghum), Triticum aestivum (gandum, wheat) ","daun (leaves), bunga (inflorescences), ""bagian tanaman di atas tanah"" ","Africa: Egypt, South Africa ""America: Canada, USA Asia: China, India, Iran, Republic of Korea (South Korea), Syria Europe: Austria, Denmark, France, Germany, Italy, Netherlands, Poland, Spain, United Kingdom Oceania: Australia"" "
5,TUNGAU,A1,"Rhizoglyphus echinopus ""(Fumouze & Robin, 1868); (Syn. Coepophagus echinopus, Rhizoglyphus hyacinthi, Rhizoglyphus spinitarsus, Tyroglyphus echinopus); (Acari: Acaridae); bulb mite"" ","Allium cepa (bawang bombay, onion), Allium sativum (bawang putih, garlic), Allium bakeri, Allium cepa var. bulbiferum, Amaryllis sp., Capsicum sp., Curcuma domestica, Freesia sp., Gladiolus sp., Hyacinthus sp., Ipomoea batatas (ubi jalar, sweet potato), Iris, Lachenalia pendula (on roots), Lilum sp., Lolium longiflorum, Narcissus sp., Oryza sativa (padi, paddy, rice), Palaeopsylla minor ex Talpa, Palaeopsylla minor, Paeonia sp., Panax ginseng (asiatic ginseng), Pinellia ternata, Sandersonia aurantica, Sinningia (gloxinia), stored wheat, Solanum sp., Tulipa, Verbena, Zea mays (jagung, maize, corn)",seluruh bagian tanaman (whole plant),"Africa: Algeria, Egypt America: Argentina, Canada, USA Asia: Armenia, Azerbaijan, China, Georgia, India, Iraq, Japan, Korea, Kazakhstan, Kyrgyzstan, Taiwan, Tajikistan, Thailand, Turkmenistan, Uzbekistan Europe:  Belarus, France, Latvia, Lithuania, Estonia, Hungary, Moldova, Netherlands, Romania, Russia, Spain, Ukraine, United Kingdom Oceania:  Australia, Fiji, New Zealand"
6,KEONG,A1,"Otala lactea Muller; Helicidae; milk snail, milky snail ","Allium sativum (bawang putih, garlic), Apium ""graveolens (seledri, celery), Brassica oleracea var. botrytis (kembang kol, cauliflower), Brassica oleracea var. capitata (kubis, cabbage), Brassica oleracea var. italica (brokoli, broccoli), Brassicaceae, Citrus, Carica papaya (pepaya, papaya), Lactuca sativa (selada, lettuce), lily, Pimpinella anisum (anise), yucca"" ",media tanam (growing media associated with plants) tumbuhan dan/atau bagian- bagiannya (plant and part of plant),"""Africa: North Africa America: Argentina, Bolivia,"" ""Brazil, Bermuda, Colombia, Chile, Cuba, Dominican Republic, Ecuador, French Guiana, Jamaica, Paraguay, Peru, Uruguay, USA, Venezuela Europe: Netherlands, Spain Oceania: Australia"" "
7,NEMATODA,A1,"Ditylenchus destructor Thorne, 1945; Anguinidae; ""potato rot nematode, potato tuber nematode, potato eelworm"" ","""Allium ascalonicum (bawang merah, shallot), Allium cepa (bawang bombai, onion), Allium sativum (bawang putih, garlic), Arachys hypogaea (kacang tanah, peanut), Beta vulgaris (bit, beetroot), Beta vulgaris var. saccharifera (bit gula, sugar beet), Camellia sinensis (teh, tea), Capsicum annuum"" ""(cabai besar, paprika, bell pepper, hot pepper, red pepper, chili), Chenopodium album (fat hen), Chrysanthemum spp. (krisan, chrysant), Chrysanthemum morifolium (chrysanthemum (florists')), Citrus sinensis (jeruk manis, navel orange), Cucumis sativus (mentimun, cucumber), Cucurbita maxima (waluh, labu parang, pumpkin), Cucurbita moschata (pumpkin), Cyperus rotundus (purple nutsedge), Dahlia hybrids, Daucus carota (wortel, carrot), Datura stramonium (jimsonweed), Eleusine indica (goose grass), Elymus repens (quackgrass), Fragaria ananassa (stroberi, strawberry), Fumaria officinalis (common fumitory), Gladiolus hybrids (sword lily), Glycine max (kedelai, soyabean),"" ""Humulus lupulus (hops), Irish spp. (irises), Ipomoea batatas (ubi jalar, sweet potato), Mentha spp. (mentol, mint), Panax ginseng (Asiatic ginseng), Panax quinquefolius (American ginseng),  Solanum (nightshade), Solanum lycopersicum (tomat, tomato), Solanum melongena (terung, aubergine, eggplant), Solanum (nightshade), Solanum nigrum (leunca, black nightshade), Solanum tuberosum (kentang, potato), Sonchus arvensis (perennial sowthistle), Tagetes minuta (stinking Roger), Taraxacum officinale complex (dandelion),Trifolium spp., (clovers), Triticum aestivum (gandum, wheat), Tulipa spp. (tulip), Xanthium strumarium (common cocklebur),  Zea mays (jagung, corn, maize)"" ","akar (roots), batang (stems (above ground), shoots, trunks, branches), kormus (corms), polong (pods), rimpang (rhizomes), stolon (stolons), umbi (bulbs, tubers)","""Africa: Nigeria, South Africa America: Canada, USA Asia: China, Iran, Japan, Kazakhstan, Kyrgyzstan, Pakistan, Republic of Korea (South Korea), Saudi Arabia, Tajikistan, Turkey, Uzbekistan Europe: Albania, Austria, Azerbaijan, Belarus, Bulgaria, Czechia, Estonia, France,"" Greece, Hungary, Ireland, Jersey, Latvia, Luxembourg, Moldova, Netherlands, Norway, Poland, Romania, Russia, Slovakia, Sweden, Switzerland, Ukraine, United Kingdom Oceania: New Zealand "
8,NEMATODA,A1,"""Ditylenchus dipsaci (Kuhn, 1857) Filip’ev, 1936; (Syn. Anguillula devastatrix Kühn, 1869, Anguillula dipsaci Kühn, 1857, Anguillula secalis Nitschke, 1868, Anguillulina dipsaci (Kühn, 1857) Gervais & Van Beneden, 1859, Anguillulina dipsaci var. communis Steiner & Scott, 1935, Ditylenchus allocotus (Steiner, 1934) Filip'ev & Sch. Stek., 1, Ditylenchus amsinckiae (Steiner & Scott, 1935) Filip'ev & Sch. Ditylenchus dipsaci var. tobaensis Schneider, 1937, Ditylenchus fragariae Kir'yanova, 1951, Ditylenchus galeopsidis Teploukhova, 1970, Ditylenchus sonchophila Kir'yanova, 1958,"" Ditylenchus trifolii Skarbilivich, 1958, ""Tylenchus allii Beijerinck, 1883, Tylenchus devastator, Tylenchus devastatrix (Kühn) Oerley, Tylenchus dipsaci (Kühn, 1857) Bastian, 1865, Tylenchus havensteinii Kühn, 1881, Tylenchus hyacinthi Prillieux, 1881, Tylenchus putrefaciens Kühn, 1879); Anguinidae; bulb eelworm, brown ring disease of hyacinth, onion bloat, ring disease of bulbs, stem and bulb nematode"" ","""Abrosia spp., Allium spp., Allium ascalonicum (bawang merah, shallot), Allium cepa (bawang bombai, onion), Allium cepa var. aggregatum (bawang merah, shallot), Allium fistulosum (bawang daun, welch onion), Allium porrum (bawang daun, leek), Allium sativum (bawang putih, garlic), Agropiron spp., Apium graveolens (seledri, celery), Astrantia, Avena sativa (oat, oats), Avena spp., Begonia, Bergenia (elephant-leaved saxifrage), Beta vulgaris var. saccharifera (bit gula, sugar beet), Brassica napus var. napus (rape), Brassica rapa subsp. rapa (turnip), Cannabis sativa (hemp), Carduus acanthoides (welted thistle), Cichorium intybus (chichory), Crocus sativus (kuma-kuma,"" safron, saffron), Cucumis melo (melon, melon), Cucurbitaceae (cucurbits), Chenopodium murale (nettleleaf goosefoot), Cirsium arvense (creeping thistle), Convolvulus arvensis (bindweed), Chrysanthemun spp., Crocus sativus (kuma- kuma, safron, saffron), Delpinium spp., Dianthus caryophyllus (anyelir, carnation), Erigeron spp., Fragaria ananassa (stroberi, strawberry), Gladiolus hybrids (sword lily), Helianthus annuus (bunga matahari, sunflower), Hieracium pilosella (mouse-ear hawkweed), Hyacinthes spp., Hyacinthus orientalis (hyacinth), Hydrangea (hydrangeas), Ipomoea batatas (ubi jalar, sweet potato), Lamium album (white deadnettle), Lamium amplexicaule (henbit deadnettle), Lamium ""purpureum (purple deadnettel), Lens culinaris ssp. culinaris (lentil, lentil), Medicago sativa (alfalfa, lucerne), Myriophyllum verticillatum (whorled watermilfoil), Narcissus (daffodil), Narcissus pseudonarcissus (wild lent lily), Nerine sarniensis (guernsey lily), Nicotiana tabacum (tembakau, tobacco), Onobrychis viciifolia (sainfoin), Orchidaceae (anggrek, orchids), Petroselinum crispum (parslei, parsley), Phaseolus (beans), Phaseolus coccineus (runner bean), Phlox drummondii (annual phlox), Phlox paniculata (summer perennial phlox), Pilosella officinarum (mouse-ear hawkweed), Pimpinella anisum (aniseed),"" ""Pisum sativum (kapri, sweet pea), Polyphagous (polyphagous), Raphanus sativus (lobak, radish), Ranunculus arvensis (corn buttercup), Raphanus raphanistrum (wild radish), Secale cereale (rye), Solanum tuberosum (kentang, potato), Spinacia oleracea (bayam, spinach), Stellaria media (common chickweed), Tagetes spp., Taraxacum officinale complex (dandelion), Trifolium spp., Trifolium pratense (purple clover), Trifolium repens (white clover), Triticum (gandum, wheat), Tulipa (tulip), Vicia faba (faba bean), Zea mays (jagung, corn, maize)"" ","batang (stems (above ground), shoots, trunks, branches), bibit (seedlings, micropropagated plants), biji (true seeds,  grain), buah (fruits, pods), bunga (flowers, inflorescences, cones, calyx), daun (leaves), stolon (stolons), umbi (bulbs, tubers, corms, rhizomes)","""Africa: Algeria, Kenya, Morocco, Réunion, South Africa, Tunisia America: Argentina, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, Haiti, Mexico, Paraguay, Peru, USA, Uruguay, Venezuela Asia: Armenia, China, Georgia, Iran, Iraq, Israel, Japan, Jordan, Kazakhstan, Kyrgyzstan, Oman, Pakistan, Republic of Korea (South Korea), Syria, Turkey, Uzbekistan, Yemen Europe: Albania, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Czechoslovakia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, North"" ""Macedonia, Malta, Moldova, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovenia, Slovakia, Spain, Sweden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
9,NEMATODA,A1,"Paratrichodorus porosus (Allen, 1957) Siddiqi, 1974; ""(Syn. Trichodorus porosus (Allen, 1957) Siddiqi, 1980, Paratrichodorus (Atlantadorus) porosus (Allen, 1957) Siddiqi, 1974, Trichodorus bucrius Lordello & Zamith, 1958, Trichodorus porosus Allen, 1957); Trichodoridae; stubby-root nematode"" ","""Abelmoschus esculentus (okra, okra), Acer palmatum (Japanese maple), Allium cepa (bawang bombay, onion), Allium sativum (bawang putih, garlic), Aphananthe aspera (muku), Aucuba japonica (Japanese aucuba), Bambusa tuldoides (punting-pole bamboo), Bambusa vulgaris (bambu, common bamboo), Brassica oleracea var. capitata (kubis, cabbage), Brassica rapa subsp. chinensis (pak-choi, chinese cabbage), Butia (jelly"" ""palm), Callicarpa japonica (Japanese callicarpa), Camellia, Camellia sinensis (teh, tea), Carpinus tschonoskii, Castanea crenata (Japanese chestnut), Castanopsis cuspidata (chinkapin), Casuarina (beefwood), Casuarina equisetifolia (casuarina), Celtis sinensis (Chinese elm), Cercidiphyllum japonicum (katsura), Cinnamomum camphora (camphor laurel), Camellia, Citrus jambhiri (rough lemon), Citrus limon (jeruk lemon, lemon), Citrus reticulata (jeruk mandarin, mandarin), Citrus sinensis (jeruk manis, navel orange), Citrus x paradisi (grapefruit), Cleyera japonica, Cryptomeria japonica (Japanese cedar), Cucurbita maxima (giant pumpkin),"" Daphniphyllum macropodum, ""Dioscorea (yam), Dioscorea batatas (Chinese yam), Eucalyptus (Eucalyptus tree), Fatsia japonica (Japanese aralia), Ficus carica (fig), Gardenia, Ginkgo biloba (kew tree), Glycine max (kedelai, soyabean), Gossypium (kapas, cotton), Hordeum vulgare (barli, barley), Idesia polycarpa (idesia), Ilex crenata (Japanese holly), Ilex integra (mochi), Ilex rotunda (kurogane holly), Juglans regia (walnut), Juniperus (junipers), Lagerstroemia indica (indian crape myrtle), Ligustrum lucidum (broad-leaf privet), Lupinus (lupins), Lycopersicon peruvianum, Magnolia hypoleuca (japanese big-leaved magnolia), Malus domestica (apel, apple), Morus alba"" ""(mora), Musa (pisang, banana), Musa acuminata (wild banana), Musa x paradisiaca (pisang kepok, plantain), Neolitsea sericea, Olea europaea subsp. europaea (zaitun, olive), Persea americana (avokad, avocado), Pinopsida (conifers), Pinus densiflora (Japanese umbrella pine), Pinus pseudostrobus var. pseudostrobus, Pinus thunbergii (Japanese black pine), Pittosporum tobira (Japanese pittosporum), Poncirus trifoliata (Trifoliate orange), Prunus armeniaca (aprikot, apricot), Prunus domestica (prem, plum), Prunus mahaleb (mahaleb cherry), Prunus persica (persik, peach), Prunus salicina (Japanese plum), Prunus serrulata (Japanese flowering cherry), Pyrus amygdaliformis,"" Pyrus communis (pir, pear), Quercus acutissima (sawtooth oak), Quercus glandulifera (Glandbearing oak), Quercus salicina, Rhododendron (azalea), Rhododendron indicum (satsuki azalea), Rosa (mawar, roses), Rubus loganobaccus (loganberry), Saccharum officinarum (tebu, sugarcane), Sorghum bicolor (sorgum, sorghum), Tagetes erecta (African marigold), Tagetes patula (french marigold), Taxus cuspidata (Japanese yew), Ternstroemia gymnanthera, Viburnum odoratissimum, Vitis vinifera (anggur, grapevine), Zea mays (jagung, corn, maize) ","akar (roots), bibit (seedlings/ ""micropropagated plants), kormus (corms), media tanam yang melekat pada tanaman (growing media associated with plants), stek berakar (cuttings with root), tanah (soil), umbi (bulbs, tubers, rhizomes)"" sebagai vektor (as a vector): Tobravirus ","Africa: South Africa America: Brazil, Chile, Costa Rica, USA Asia: China, India, Iran, Japan, Republic of Korea (South Korea), Sri Lanka, Uzbekistan, Vietnam Europe: Italy, Portugal, Russia Oceania: Australia, Papua Nugini"
10,GULMA NON PARASITIK,A1,"Cirsium arvense (L.) Scop. (1772); ""(Syn. Aplotaxis circioides DC., Aplotaxis pungens DC., Breea arvensis (L.) Less., Breea dioica (Cass.) Less., Breea ochrolepidea (Juz.) Soják, Breea praealta (Cass.) Less., Carduus arvensis (L.) Hill, Carduus arvensis (L.) Robson, Carduus arvensis var. arvensis, Carduus haemorrhoidalis DC., Carduus serratuloides Neck., Cephalonoplos arvense var. alpestre Kitam., Cephalonoplos arvensis (L.) Fourr., Cephalonoplos arvensis var. arvensis, Cephalonoplos ochrolepidium (Juz.) Juz., Cirsium albicans Wilk., Cirsium arvense f. albiforum (E.L. Rand & Redfield) R. Hoffm., Cirsium arvense f. arvense, Cirsium arvense f."" ""incanum (beck) Gajic, Cirsium arvense f. rubricaule Lepage, Cirsium arvense subsp. arvense, Cirsium arvense subsp. horridum Wimm. & Grab., Cirsium arvense subsp. vestitum (Wimm. & Grab.) Petr., Cirsium arvense subsp. vestitum (Wimm. & Grab.) Petr. Ex Arènes, 1954, Cirsium arvense subsp. vestitum Wimm. & Grab., Cirsium arvense var. argentatum (Vest.) Fioni, Cirsium arvense var. argenteum Bréb., 1869, Cirsium arvense var. argenteum Treuinf., 1875, Cirsium arvense var. decurrens Wallr., 1840, Cirsium arvense var. discolor Neilr., 1850, Cirsium arvense var. horridum Wimm. &"" ""Grab., Cirsium arvense var. incanum Beck, Cirsium arvense var. malhoi Giraudias, 1890, Cirsium arvense var. spinosissimum Neilr., 1859, Cirsium arvense var. subalatum (Ledeb.) Ledeb., Cirsium arvense var. tomentosum Becker, 1828, Cirsium bebearnense Gand., 1884, Cirsium dioicum Cass., Cirsium halophilum Turcz., Cirsium halophium Turcz. ex Herder, Cirsium horridum (Wimm. & Grab.) Stakov, Cirsium incanum Bieb., Cirsium lanatum Spreng., Cirsium setosum (Willd.) Bieb., Cirsium ochrolepidium Juz., Cirsium praealtum Cass., Cirsium rubricaule Novopokr., Cirsium ruthenicum Fisch., Cirsium serratuloides Neck.,"" ""Cirsium setosum f. albiflorum Kitag., Cirsium setosum var. setosum, Cirsium setosum var. subalatum Ledeb., Cirsium sordidum Wallr., Cirsium stocksii Boiss., Cirsium × celakovskianum Knaf, Cirsium × rakosdense Simonk., 1904, Cnicus arvensis (L.) G.Gaertn. et al., 1801, Cnicus arvensis (L.) Hoffm., Cnicus arvensis (L.) Roth, Cnicus arvensis f. albiflorus E.L.Rand & Redfield, Cnicus arvensis f. arvensis, Cnicus arvensis subsp. microstylon (Rchb.) Arcang., 1882, Cnicus arvensis var. arvensis, Cnicus candicans Wall., Cnicus macrostylus Moretti, Cnicus ruthenicus Henning, Cynara repens Stokes, Ixine"" ""arvensis (L.) Hill, Saussurea pungens (DC.) Sch.Bip., Serratula arvensis L., Serratula campestris Schweigg., Serratula campestris Schweigg. ex DC., Serratula complanata Schweigg., Serratula lanata Poir., Serratula spinosa Gilib., Cnicus arvensis Hoffm.); Asteraceae; California thistle, Canada thistle, creeping thistle, field thistle"" ","Aeschynomene falcata (joint vetch), Allium cepa (bawang ""bombay, onion), Allium porrum (bawang daun, leek), Allium sativum (bawang putih, garlic), Apium graveolens (seledri, celery), Arachis hypogaea (kacang tanah, groundnut), Asparagus officinalis (asparagus, asparagus), Avena sativa (oat, oats), Beta vulgaris var. saccharifera (sugarbeet), Brassica juncea var. juncea (Indian mustard), Brassica napus var. napus (rape), Brassica napus var. oleifera, Brassica nigra (black mustard), Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. botrytis (bunga kol, cauliflower), Brassica oleracea var. italica (brokoli, broccoli), Brassica oleracea var. viridis (collards), Brassica rapa subsp. rapa"" (turnip), Bromus (bromegrasses), Capsicum ""annuum (paprika, bell pepper), Carthamus tinctorius (safflower), Chamomilla recutita (common chamomile), Cicer arietinum (chickpea), Citrullus lanatus (semangka, watermelon), Cucumis melo (melon, melon), Cucumis sativus (mentimun, cucumber), Cucurbita maxima (giant pumpkin), Cucurbita pepo (marrow), Curcuma longa (turmeric), Dactylis glomerata (cocksfoot), Daucus carota (wortel, carrot), Fagopyrum esculentum (buckwheat), Fragaria ananassa (stroberi, strawberry), Glycine max (kedelai, soyabean), Gossypium (kapas, cotton), Helianthus annuus (bunga"" matahari, sunflower), ""Hordeum vulgare (barli, barley), Lactuca sativa (lettuce), Lagenaria siceraria (bottle gourd), Linum usitatissimum (flax), Lotus corniculatus (bird's-foot trefoil), Lupinus (lupins), Malus domestica (apel, apple), Medicago sativa (lucerne), Nicotiana tabacum (tembakau, tobacco), Onobrychis viciifolia (sainfoin), Panicum miliaceum (millet), Petroselinum crispum (parsley), Phaseolus (beans), Phaseolus lunatus (lima bean), Phleum (timothies), Piper nigrum (lada hitam, black pepper), Pisum sativum (pea), Poa (meadow grass), Polyphagous (polyphagous), Prunus avium (ceri manis, sweet cherry), Prunus"" domestica (plum), Pyrus communis (European pear), Raphanus sativus (radish), Rubus fruticosus (blackberry), Rubus idaeus (raspberry), Saccharum officinarum (sugarcane), Secale cereale (rye), Securigera varia (crown vetch), Solanum lycopersicum (tomat, tomato), Solanum melongena (aubergine), Solanum tuberosum (kentang, potato), Sorghum bicolor (sorghum), Spinacia oleracea (spinach), Trifolium (clovers), Triticum (wheat), Triticum aestivum (gandum, wheat), Triticum turgidum subsp. durum, Vicia faba (faba bean), Vigna angularis (adzuki bean), Vitis vinifera (anggur, grapevine), Zea mays (jagung, corn, maize), hutan tanaman industri (industrial forest), hortikultura (horticulture), ""tanaman pangan (food crops), tanaman perkebunan (estate crops)"" ","mengkontaminasi biji, bibit, media tanam (contaminated true ""seeds (inc. grain), seedlings, growing media associated with plants)"" ","""Africa: Algeria, Angola, Eswatini, Réunion, South Africa, Sudan,"" ""Tunisia, Zimbabwe America: Alaska, Argentina, Brazil, Canada, Chile, Falkland Islands, Hawaii, Jamaica, Mexico, Panama, Paraguay, Uruguay, USA Antarctica: French Southern Territories Asia: Afghanistan, Armenia, Azerbaijan,  Bangladesh, Bhutan, China, DPR Korea (North Korea), Georgia, India, Iran, Japan, Kazakhstan, Kyrgyzstan, Lebanon, Mongolia, Nepal, Pakistan, Republic of Korea (South Korea), Tajikistan, Turkey, Turkmenistan, Uzbekistan Europe: Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Czechoslovakia, Denmark, Estonia, Finland,"" ""France, Germany, Greece, Hungary, Iceland, Ireland, Isle of Man,  Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxemburg, Republic of Moldova, North Macedonia, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Serbia and Montenegro, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom, Yugoslavia Oceania: Australia, New Zealand"" "
