No,Jenis OPTK,Kategori,NAMA OPTK,INANG/HOST,MP,DAERAH SEBAR
1,SERANGGA,A1,"Alsophila pometaria (Harris); (Syn. Anisopterix pometaria, Anisopteryx pometaria); (Lepidoptera: Geometridae); fall cankerworm","Acer spp. (maple), Fraxinus spp., Hackberry, Juglan sp. (walnut), Malus domestica (apel, apple), Pelargonium (geranium), Pyrus communis (pir, pear), Quercus spp. (oak), Rose, Salix sp. (willow), Ulmus sp. (elm), other stone fruit","batang (stems, trunks, shoots, branches), buah (fruits), bunga (flowers, inflorescences, cones, calyx), daun (leaves)","America: Canada, USA"
2,SERANGGA,A1,"""Anastrepha fraterculus(Wiedemann);(Syn. Acrotoxa fraterculus (Weidemann), Anastrepha braziliensis Greene, Anastrepha costarukmanii""Capoor, Anastrepha""fraterculus var. soluta Bezzi,Anastrepha lambayecaeKorytkowski, Anastrephapseudofraterculus Capoor,Anastrepha scholae Capoor,Anthomyia frutalisWeyenburgh, Anastrephaperuviana Towsend,Anastrepha soluta, Dacusfraterculus Weidemann,Tephritis mellea Walker,Trypeta fraterculus(Weidemann), Trypetaunicolor Loew);(Diptera: Tephritidae);South American fruitfly""","Actinidia chinensis (Chinese gooseberry), Actinidia deliciosa (kiwi, kiwifruit), Ampelocera hottlei, Annona cherimola (cherimoya), Annona muricata (sirsak,""soursop), Annona squamosa (srikaya, sweetsop), Averrhoa carambola (belimbing, carambola, star-fruit), Butia eriospatha, Campomanesia xanthocarpa, Carica papaya, (pepaya, papaya), Chrysophyllum gonocarpum, Citrus aurantium (sour orange), Citrus limetta (sweet lemon), Citrus maxima (pummelo), Citrus reticulata (mandarin), Citrus sinensis (navel orange), Citrus x paradisi, Coffea arabica (kopi arabika, Arabica coffee),Coffea liberica (Liberian coffee tree), Cydonia oblonga(kwinsi, quince), Diospyros kaki (kesemek, persimmon), Diospyros malabarica, Euginia stipitata, Eriobotrya japonica (loquat), Eugenia brasiliensis (brazil cherry),""catappa (ketapang, Indian almond), Theobroma cacao (kakao, cocoa), Vitis vinifera (anggur, grapevine), Ziziphus joazeiro, Zuelania Guidonia""Eugenia involucrate, Eugenia pyriformis, Eugenia stipitate, Eugenia uniflora (Surinam cherry), Feijoa sellowiana (horn of plenty), Ficus carica (ara, fig), Fortunella japonica (kumquat), Fragaria vesca (wild strawberry), Inga edulis, Inga marginata, Juglans australis, Juglans neotropica (Andean walnut), Juglans regia (walnut), Malus spp.,Malus domestica (apel, apple), Mangifera indica (mangga, mango), Manilkara zapota (sawo, sapodilla), Myrcia tomentosa, Olea europaea subsp. europaea (European olive), Passiflora alata, Persea americana (alpukat, avocado), Pouteria caimito, Pouteria obovata, Prunus americana (aprikot, apricot), Prunus dulcis (almon, badam,""""almond), Prunus persica (persik, peach), Psidium cattleianum (strawberry guava), Psidium longipes, Psidium guajava (jambu biji, guava), Psidium guineense (Guinea guava), Punica granatum (delima, pomegranate), Pyrus communis (pir, pear), Quassia guianensis, Rubus glaucus, Solanum aligerum, Solanum quitoense, Spondias dulcis (otaheite apple), Spondias mombin (hog plum), Spondias purpurea (red mombin), Spondias cytherea, Spondias tuberosa, Syzygium aquea (jambu air, star apple), Syzygium jambos (jambu mawar, rose apple), Syzygium malaccense (jambu bol,malay-apple), Talisia olivaeformis, Terminalia""","buah (fruit (inc. pods), media tanam (growing media associated with plants), tanah (soil)","America: Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, French Guiana. Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay,Peru, Suriname, Trinidad and Tobago, USA, Uruguay, Venezuela"
3,SERANGGA,A1,"Anastrepha ludens (Loew); (Syn. Acrotoxa ludens (Loew), Anastrepha lathana Stone, Trypeta ludens Loew); (Diptera: Tephritidae); Mexican fruit fly","Anacardium occidentale (jambu mete, cashew-nut), Annona cherimola (cherimoya), Annona liebmanniana, Annona muricata (sirsak, soursop), Annona reticulata (buah nona, srikaya), Annona squamosa (srikaya, sweetsop, bullock’s heart, custard apple), Casimiroa edulis (white sapote), Citrus spp. (jeruk, orange), Citrus aurantifolia (lime), Citrus aurantium (sour orange), Citrus maxima (pummelo), Citrus limetta (sweet lemon tree), Citrus sinensis (navel orange), Citrus x paradisi""(grapefruit), Citrus medica (citron), Citrus reticulata (mandarin), Citrus reticulata x paradisi (tangelo), Coffea arabica (kopi arabika, arabica coffee), Cydonia oblonga (kwinsi, quince), Diospyros kaki (kesemek, persimmon), Feijoa sellowiana, Malus domestica (apel, apple), Mammea americana (mamey apple), Mangifera indica (mangga, mango), Passiflora edulis (passionfruit),Passiflora quadrangularis (markisa, passion-fruit, granadilla), Persea americana (alpukat, avocado), Pouteria sapota, Prunus persica (persik, peach), Psidium guajava (jambu biji, guava), Psidium longipes, Punica granatum (delima, pomegranate), Pyrus""communis (pir, pear), Sargentia greggii, Spondias purpurea, Syzygium aquea (jambu air, star apple), Talisia olivaeformis","buah (fruit (inc. pods), media tanam (growing media associated with plants), tanah (soil)","America: Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama,USA"
4,SERANGGA,A1,"Anastrepha obliqua(Macquart);(Syn. Acrotoxa obliqua, Anastrepha fraterculus var. ligata, Anastrepha fraterculus var. mombinpraeoptans SeÃn, Anastrepha mombinpraeoptans SeÃn, Tephritis obliqua, Anastrepha Acudisa, A nastrepha Trinidadensis, Trypeta obliqua);(Diptera: Tephritidae); West Indian fruit fly, Antillean fruit fly","Ampelocera hottlei, Anacardium occidentale (jambu mete, cashew-nut), Annona hayesii, Averrhoa carambola (belimbing, carambola, star-fruit), Brosimum alicastrum, Citrus spp., Citrus aurantium (sour orange), Citrus limetta (sour lemon tree), Citrus sinensis (sweet orange), Citrus x paradisi (grapefruit), Coffea arabica (kopi arabika, arabica coffee), Diospyros ebenaster (black sapote), Eriobotrya japonica (loquat), Euginia jambos (jambos), Euginia malaccensis (pomerack), Euginia nesiotica, Malpighia""glabra, Mangifera indica (mangga, mango), Manilkara zapota (sawo, sapodilla), Myrcia tomentosa, Passiflora quadrangularis (markisa, passion fruit, granadilla), Pouteria sapota (mammey sapote), Prunus dulcis (almon, badam, almond), Prunus salicina (Japanese plum), Prunus amygdalus (bitter almond), Prunus domestica (prem, plum), Psidium longipes, Pyrus communis(pir, pear), Pouteria viridis, Pouteria sapota, Pouteria mammosa, Psidium guajava (jambu biji, guava), Pyrus communis (European pear), Syzygium aquea (jambu air, star apple), Syzygium malaccense (jambu bol, malay-apple), Spondias cytherea, Spondias dulcis,""Spondias mombin, Spondias purpurea, Spondias spp.","buah (fruit (inc. pods), media tanam (growing media associated with plants), tanah (soil)","America: Antigua and Barbuda, Argentina, Bahamas, Barbados, Belize, Brazil, British Virgin Islands, Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, Ecuador, El Salvador, French Guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherlands Antilles, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Saint  Kitts  and Nevis, Saint Lucia,  Saint Vincent and theGrenadines, Suriname, Trinidad and Tobago, United StatesVirgin Islands, Venezuela"
5,SERANGGA,A1,"Anastrepha serpentina(Wiedemann);(Syn.  Acrotoxa serpentinus Wiedemann, Dacus serpentinus Wiedemann, Leptoxys serpentina Wiedemann, Trypeta serpentina Wiedemann, Urophora vittithorax Wiedemann);(Diptera: Tephritidae); sapote fruit fly, sapodilla fruit fly, black fruit fly, dark fruit fly","""Alchornea latifolia, Annona cherimola, Annona glabra, Bumelia sebolana, Brysonima crassifolia, Capparis angulata, Citrus spp. (jeruk, orange), Citrus aurantium, Citrus maxima, Citrus reticulata, Citrus sinensis, Citrus x paradisi, Chrysophyllum cainito, Chrysophyllum argenteum, Chrysophyllum mexicanum, Cydonia oblonga (kwinsi, quince), Diospyros ebenaster, Dovyalishebecarpa, Eriobotrya japonica (lokwat, loquat),Ficus spp. (ara, fig), Lacmellea panamensis, Malus domestica (apel, apple), Mammea americana, Mangifera indica (mangga, mango), Manilkara spp., Manilkara zapota (sawo,""""sapodilla), Persea americana (alpukat, avocado), Pouteria viridis, Pouteria campechiana, Pouteria caimito, Pouteria obovata, Pouteria sapota, Prunus cerrasus (ceri, cherry), Prunus persica (persik,peach), Psidium guajava (jambu biji, guava), Pyrus communis (pir, pear), Pouteria caimito, Pouteriacampechiana (canistel), Pouteria sapota (mammey sapote) Sideroxylon capiri, Sideroxylon palmeri, Spondias mombin, Spondias purpurea, Spondias spp.""","buah (fruit (inc. pods), media tanam (growing media associated with plants), tanah (soil)","America: Belize, Brazil, Colombia, Costa Rica, Curacao, Dominica, Ecuador, El Savador French Guiana, Guatemala, Guyana, Honduras, Mexico, Netherlands Antilles, Nicaragua, Panama, Peru, Suriname, Trinidad and Tobago, USA, Venezuela"
6,SERANGGA,A1,"Anastrepha suspensa (Loew); (Syn.  Anastrepha longimacula Greene, Anastrepha unipuncta Sein, Trypeta suspensa Loew); (Diptera: Tephritidae); Carribean fruit fly","Annona spp., Annona squamosa (srikaya, sweetsop), Annona glabra, Annona reticulata (bullock's heart) Averrhoa carambola (belimbing, star-fruit), Blighia sapida (akee apple), Canellawinterana, Chrysobalanus""icaco, Carica papaya (pepaya,papaya), Carissa macrocarpa (Natal plum), Citrofortunella mitis, Citrus spp., Clausena lansium, Coccoloba uvifera, Capsicum annuum (cabai besar, paprika, bell-pepper), Casimiroa edulis, Chrysophyllum cainito, Chrysophyllum oliviforme, Clausena lansium, Coccoloba uvifera, Diospyros kaki (kesemek, persimmon), Diospyros blancoi, Diospyros virginiana, Dovyalis caffra, Ficus carica (ara, fig), Flacourtia indica, Fortunella margarita (oval kumquat), Fortunella x crassifolia, Eriobotrya japonica (loquat), Euginia dombeyi (brazil cherry), Euginia uniflora (surinam cherry), Eugenia""""(jambu biji, guava), Psidium cattleianum, Spondias spp., Spondias mombin, Synsepalum dulcificum, Spondias cytherea, Syzygium cumini (jamblang, java plum), Syzygium samarangense (jambu Semarang, java apple), Solanum lycopersicum (tomat, tomato), Syzygium spp., Syzygium aquea (jambu air, star apple), Terminaliacatappa (ketapang, Indian almond), Terminalia muelleri, Triphasia sp.""""spp., Fortunella margarita, Garcinia aristata, Garcinia mangostana (manggis, mangosteen), Garcinia livingstonei, Malus domestica (apel, apple), Malpighia glabra, Mangifera indica (mangga, mango), Manilkara zapota (sawo, sapodilla), Momordica charantia (paria, bitter gourd), Murraya spp. (kemuning,mock orange),  Momordica balsamina, Persea americana (alpukat, avocado), Phoenix dactylifera (kurma, dates- palm), Pimenta dioica, Prunus persica (persik, peach), Psidium longipes, Punica granatum (delima, pomegranate), Pyrus communis (pir, pear), Pouteria campechiana, Psidium guineense, Prunus cerrasus (ceri, cherry), Psidium guajava""","buah (fruit (inc. pods), media tanam (growing media associated with plants), tanah (soil)","America: Bahamas, British Virgin Islands, Cayman Islands, Cuba, Dominican Republic, French Guiana, Haiti, Jamaica, Puerto Rico, USA, Virgin Islands"
7,SERANGGA,A1,"Anoplophora glabripennis(Motschulsky);(Coleptera: Cerambycidae);Asian longhorned beetle, starry sky beetle","Acer buergerianum, Acer davidii, Acer grosseri, Acer negundo, Acer palmatum,""Acer pseudoplatanus, Acer rubrum, Acer robustrum, Acer saccharum, Acer saccharinum, Acer truncatum, Acer spp., Aesculus hippocastanum, Alnus spp., Betula platyphylla, Betula spp., Carpinus spp., Corylus spp., Cotoneaster spp., Eucalyptus diversicolor, Fraxinus sp., Hippophae rhamnoides, Liriodendron tulifera, Lagerstroemia spp., Malussylvestris, Morus alba, Ostrya spp., Platanus orientalis, Platanus spp., Populus spp., Populus canadensis (hybrid black poplar), Populus dakuensis, Populus deltoides, Populus nigra (black poplar), Prunus laurocerasus, Pyrus spp., Robinia pseudoacacia, Rosa spp., Salix spp., Salix""babylonica, Salix matsunada, Sophora sp., Tilia tuan, Ulmus pumila, Ulmus laeuig, Ulmus spp.","batang (stems (above ground), shoots, trunks, branches),kayu (woods), kulit kayu (bark)","America: USAAsia: China, DPR Korea (NorthKorea), Lebanon, Republic of""Korea (South Korea),Europe: France, Germany, Italy, Slovakia, Switzerland"""
8,SERANGGA,A1,"""Apate monachus Fabricius,1775;(Syn.  Apate carmelita Fabricius, 1801, Apate francisca Fabricius, 1801, Apate gibba Fabricius, 1798, Apate mendica Olivier, 1790, Apate monacha Fabricius,1801, Apate monachus var. Rufiventris Lucas, 1843, Apate semicostata Thomson,1857, Apate senii Stefani,1911);(Coleoptera: Bostrichidae);black borer, twig borer, date""palm bostrichid","Annona cherimola(cherimoya), Azadirachta""indica (nimba, neem tree),Cajanus cajan (kacang gude,pigeon pea), Calicotomespinosa, Casuarinaequisetifolia, Citrus spp.(jeruk, orange), Citrussinensis, Coffea arabica (kopiarabika, arabica coffee), Coffea liberica, Elaeis guineensis (kelapa sawit, oil palm), Gleditsia triacanthos, Malus domestica (apel, apple), Mangifera indica (mangga,""""mango), Melia azedarach, Morrus alba (murbei, mulberry), Olea europea subsp. europea (zaitum,olive), Psidium guajava (jambu biji, guava), Phoenixdactylifera (kurma, dates- palm), Punica granatum (delima, pomegranate), Prunus persica (persik, peach), Pyrus communis (pir, pear), Robinia pseudoacacia, Styphnolobium japonicum,Syringa pekinensis, Swietenia mahogany (mahoni, mahogany), Tamarindus indica (asam, tamarind), Tamarix gallica, Theobroma cacao (kakao, cocoa), Vitis vinifera (anggur, grapevine)""","batang (stems (above ground), trunks, shoots, branches), kayu (woods)","""Africa: Algeria, Benin, Cameroon, DR Congo, Egypt, Eritrea, Ethiopia, Ghana, Guinea, Ivory Coast, Morocco, Niger, Nigeria, Sao Tome and Principe, Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia America: Brazil, Cuba, Dominican Republic, Guadaloupe, Jamaica, Martinique, Puerto Rico, Saint Kitts and NevisAsia: India, Israel, Lebanon, Syria, TurkeyEurope: France, Hungary, Italy,""Malta, Spain"
9,SERANGGA,A1,"Apriona germari (Hope); (Syn. Apriona germari, Apriona rugicollis) (Coleoptera: Cerambycidae); Mulberry longhorn beetle","""Artocarpus integra, Morus alba, Salix tetrasperma, Salix babilonica (weeping willow) Artocarpus chama,Artocarpus heterophyllus, Bombax ceiba, Broussonetia kazinok, Broussonetia papyrifera, Cajanus, Cajanus cajan, Camellia oleifera, Celtis sinensis, Cinnamomum camphora, Citrus, Citrus aurantium, Citrus unshiu, Crataegus phaenopyrum,""Cunninghamia lanceolata,""Dalbergia, Diospyros kaki, Eriobotrya japonica, Ficus carica, Ficus hispida, Ficus retusa, Firmiana simplex, Juglans, Juglans mandshurica, Juglans regia, Lagerstroemia indica, Malus, Malus asiatica, Malus baccata, Malus domestica, Melia azedarach, Morus, Morus alba, Morus indica, Morus macroura, Paulownia, Pinus massoniana, Pinus yunnanensis, Platycarya strobilacea, Populus, Populus alba, Populus maximowiczii, Populus nigra var. italica,Populus tomentosa, Populus xcanadensis, Prunus pseudocerasus, Pterocarya""""stenoptera, Punica granatum,Pyrus, Quercus, Pyrus pyrifolia var. culta, Quercus acuta, Robinia pseudoacacia, Rubus, Salix, Salixgracilistyla, Salix tetrasperma, Schima superba, Styphnolobium japonicum, Triadica sebifera, Ulmus, Ulmus pumila, Vernicia fordii, woody plants""","batang (stems (above ground), trunks, shoots, branches), kayu (woods)","Asia: Bangladesh, Butan, Cambodia, China, India, Japan, Lao PDR (Laos), Myanmar, Nepal, Republic of Korea (South Korea), Taiwan, Thailand, Vietnam"
10,SERANGGA,A1,"Argyrotaenia velutinanaWalker;""(Syn. Eulia velutinanaWalker, Tortrix velutinanaWalker);(Lepidoptera: Tortricidae);redbanded leafroller""","""Acer sp. (maple), Abiesbalsamea, Ambrosia trifida,Alcea rosea, Apocynum sp.(dogbane), Betula papyrifera,Chrysanthemum, Geraniumsp., Ilex decidua, Larix spp.,Lobelia sp., Lonicera sp.,Malus spp., Malus domestica(apel, apple), Mangifera indica(mangga, mango), Myrica gale,Persea americana (alpukat,""""avocado), Picea glauca, Picea mariana, Picea rubens, Pinus sylvestris, Platantheracristata, Populus tremuloides, Prunus domestica (prem, plum), Prunus pensylvania, Prunus persica, Prunus serotina, Psidium guajava (jambu biji, guava), Pyrus communis (pir, pear),Quercus sp., Rosa spp., Syzygium aquea (jambu air, star apple), Tsuga canadensis, Vaccinium sp., Zinia violacea""","batang (stems (aboveground), trunks, shoots, branches), daun (leaves), buah (fruits)","America: Canada, USA"
