Media Pembawa,OPTK,Negara Asal
"biji (seeds), daun (leaves), buah (fruits), seluruh bagian tanaman (whole plants)","""Chrysodeixis includens (Walker, 1858); (Syn. Autographa oo Stoll, Autographa rogationis, Phalaena oo Stoll, Phytometra oo Cramer,"" Phytometra rogationis, ""Plusia binotula Herrich- Schaffer 1868, Plusia dyaus Grote 1875, Plusia hamifera Walker 1858, Plusia includens Walker 1858, Plusia oo Stoll in Cramer 1782, Plusia rogationis Guenee, Pseudoplusia includens (Walker, 1858), Pseudoplusia pertusa Moschler 1880, Pseudoplusia rogationis (Guenee, 1852) Pusia culta Lintner 1885); (Lepidoptera: Noctuidae); soybean looper""","America: Argentina, Bermuda, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Cuba, Dominica, Ecuador, Guyana, Honduras, Jamaica, Montserrat, Nicaragua, Peru, Puerto Rico, ""Saint Kitts and Nevis, Saint Lucia, USA, Venezuela, Virgin Islands Oceania: Australia"""
"batang (stems), daun (leaves), umbi (bulbs, tubers, corms, rhizomes), media tanam (growing media associated with plants), tanah (soil), akar (roots)","Delia antiqua Meigen; (Syn. Anthomyia antiqua, Anthomyia ceparum, Chortophila antiqua, Delia cepetorum, Hylemya antiqua, H. ceparum, Leptohylemyia antique, Pegomyia ceparum, Pegomyia cepetorum, ""Phorbia ceparum, Phorbia cepetorum, Phorbia antiqua); (Diptera: Anthomyiidae); onion maggot, onion fly""","""Africa: Egypt America: Antigua and Barbuda, Brazil, Canada, Colombia, Costa Rica, Mexico, USA Asia: Armenia, China, DPR Korea (North Korea), Georgia,"" ""India, Iran, Iraq, Israel, Japan, Kazakhstan, Mongolia, Philippines, Republic of Korea (South Korea), Turkey Europe:  Austria, Belarus, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Finland, France, Germany, Greece, Hungary, Italy, Lithuania, Malta, Moldova, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Spain, Sweden, Switzerland, United Kingdom"""
"akar (roots), batang (stems), daun (leaves), umbi (tubers, bulbs), tanah (soil)",Eumerus tuberculatus Rondani; (Diptera: Syrphidae); lesser bulb fly,"Asia: Japan, Taiwan Europe: Spain, United Kingdom Oceania: New Zealand"
"daun (leaves), bunga (inflorescences), ""bagian tanaman di atas tanah"" ","Petrobia latens (O.F. Müller 1776); ""(Syn. Acarus latens Müller, 1776, Acarus petarum Fourcroy, 1785, Acarus praegnans Schrank, 178, Paratetranychus longipes Banks, 1912, Petrobia cepae Sayed, 1946, Petrobia lapidum Oudemans, 1915, Petrobia tritici Ewing, 1921, Tetranobia decepta Banks, 1917, Tetranychia tritici Ewing, 1921, Tetranychopsis paupera Berlese, 1910, Tetranychopsis simplex Tragardh, 1904, Tetranychus anauniensis Canistrini, 1889, Tetranychus longipes Banks, 1912, Trombidium lapidum Hammer, 1804); (Acari: Tetranychidae); brown wheat mite"" ","Africa: Egypt, South Africa ""America: Canada, USA Asia: China, India, Iran, Republic of Korea (South Korea), Syria Europe: Austria, Denmark, France, Germany, Italy, Netherlands, Poland, Spain, United Kingdom Oceania: Australia"" "
seluruh bagian tanaman (whole plant),"Rhizoglyphus echinopus ""(Fumouze & Robin, 1868); (Syn. Coepophagus echinopus, Rhizoglyphus hyacinthi, Rhizoglyphus spinitarsus, Tyroglyphus echinopus); (Acari: Acaridae); bulb mite"" ","Africa: Algeria, Egypt America: Argentina, Canada, USA Asia: Armenia, Azerbaijan, China, Georgia, India, Iraq, Japan, Korea, Kazakhstan, Kyrgyzstan, Taiwan, Tajikistan, Thailand, Turkmenistan, Uzbekistan Europe:  Belarus, France, Latvia, Lithuania, Estonia, Hungary, Moldova, Netherlands, Romania, Russia, Spain, Ukraine, United Kingdom Oceania:  Australia, Fiji, New Zealand"
media tanam (growing media associated with plants) tumbuhan dan/atau bagian- bagiannya (plant and part of plant),"Otala lactea Muller; Helicidae; milk snail, milky snail ","""Africa: North Africa America: Argentina, Bolivia,"" ""Brazil, Bermuda, Colombia, Chile, Cuba, Dominican Republic, Ecuador, French Guiana, Jamaica, Paraguay, Peru, Uruguay, USA, Venezuela Europe: Netherlands, Spain Oceania: Australia"" "
"akar (roots), batang (stems (above ground), shoots, trunks, branches), kormus (corms), polong (pods), rimpang (rhizomes), stolon (stolons), umbi (bulbs, tubers)","Ditylenchus destructor Thorne, 1945; Anguinidae; ""potato rot nematode, potato tuber nematode, potato eelworm"" ","""Africa: Nigeria, South Africa America: Canada, USA Asia: China, Iran, Japan, Kazakhstan, Kyrgyzstan, Pakistan, Republic of Korea (South Korea), Saudi Arabia, Tajikistan, Turkey, Uzbekistan Europe: Albania, Austria, Azerbaijan, Belarus, Bulgaria, Czechia, Estonia, France,"" Greece, Hungary, Ireland, Jersey, Latvia, Luxembourg, Moldova, Netherlands, Norway, Poland, Romania, Russia, Slovakia, Sweden, Switzerland, Ukraine, United Kingdom Oceania: New Zealand "
"batang (stems (above ground), shoots, trunks, branches), bibit (seedlings, micropropagated plants), biji (true seeds,  grain), buah (fruits, pods), bunga (flowers, inflorescences, cones, calyx), daun (leaves), stolon (stolons), umbi (bulbs, tubers, corms, rhizomes)","""Ditylenchus dipsaci (Kuhn, 1857) Filip’ev, 1936; (Syn. Anguillula devastatrix Kühn, 1869, Anguillula dipsaci Kühn, 1857, Anguillula secalis Nitschke, 1868, Anguillulina dipsaci (Kühn, 1857) Gervais & Van Beneden, 1859, Anguillulina dipsaci var. communis Steiner & Scott, 1935, Ditylenchus allocotus (Steiner, 1934) Filip'ev & Sch. Stek., 1, Ditylenchus amsinckiae (Steiner & Scott, 1935) Filip'ev & Sch. Ditylenchus dipsaci var. tobaensis Schneider, 1937, Ditylenchus fragariae Kir'yanova, 1951, Ditylenchus galeopsidis Teploukhova, 1970, Ditylenchus sonchophila Kir'yanova, 1958,"" Ditylenchus trifolii Skarbilivich, 1958, ""Tylenchus allii Beijerinck, 1883, Tylenchus devastator, Tylenchus devastatrix (Kühn) Oerley, Tylenchus dipsaci (Kühn, 1857) Bastian, 1865, Tylenchus havensteinii Kühn, 1881, Tylenchus hyacinthi Prillieux, 1881, Tylenchus putrefaciens Kühn, 1879); Anguinidae; bulb eelworm, brown ring disease of hyacinth, onion bloat, ring disease of bulbs, stem and bulb nematode"" ","""Africa: Algeria, Kenya, Morocco, Réunion, South Africa, Tunisia America: Argentina, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, Haiti, Mexico, Paraguay, Peru, USA, Uruguay, Venezuela Asia: Armenia, China, Georgia, Iran, Iraq, Israel, Japan, Jordan, Kazakhstan, Kyrgyzstan, Oman, Pakistan, Republic of Korea (South Korea), Syria, Turkey, Uzbekistan, Yemen Europe: Albania, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Czechoslovakia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, North"" ""Macedonia, Malta, Moldova, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovenia, Slovakia, Spain, Sweden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
"akar (roots), bibit (seedlings/ ""micropropagated plants), kormus (corms), media tanam yang melekat pada tanaman (growing media associated with plants), stek berakar (cuttings with root), tanah (soil), umbi (bulbs, tubers, rhizomes)"" sebagai vektor (as a vector): Tobravirus ","Paratrichodorus porosus (Allen, 1957) Siddiqi, 1974; ""(Syn. Trichodorus porosus (Allen, 1957) Siddiqi, 1980, Paratrichodorus (Atlantadorus) porosus (Allen, 1957) Siddiqi, 1974, Trichodorus bucrius Lordello & Zamith, 1958, Trichodorus porosus Allen, 1957); Trichodoridae; stubby-root nematode"" ","Africa: South Africa America: Brazil, Chile, Costa Rica, USA Asia: China, India, Iran, Japan, Republic of Korea (South Korea), Sri Lanka, Uzbekistan, Vietnam Europe: Italy, Portugal, Russia Oceania: Australia, Papua Nugini"
"mengkontaminasi biji, bibit, media tanam (contaminated true ""seeds (inc. grain), seedlings, growing media associated with plants)"" ","Cirsium arvense (L.) Scop. (1772); ""(Syn. Aplotaxis circioides DC., Aplotaxis pungens DC., Breea arvensis (L.) Less., Breea dioica (Cass.) Less., Breea ochrolepidea (Juz.) Soják, Breea praealta (Cass.) Less., Carduus arvensis (L.) Hill, Carduus arvensis (L.) Robson, Carduus arvensis var. arvensis, Carduus haemorrhoidalis DC., Carduus serratuloides Neck., Cephalonoplos arvense var. alpestre Kitam., Cephalonoplos arvensis (L.) Fourr., Cephalonoplos arvensis var. arvensis, Cephalonoplos ochrolepidium (Juz.) Juz., Cirsium albicans Wilk., Cirsium arvense f. albiforum (E.L. Rand & Redfield) R. Hoffm., Cirsium arvense f. arvense, Cirsium arvense f."" ""incanum (beck) Gajic, Cirsium arvense f. rubricaule Lepage, Cirsium arvense subsp. arvense, Cirsium arvense subsp. horridum Wimm. & Grab., Cirsium arvense subsp. vestitum (Wimm. & Grab.) Petr., Cirsium arvense subsp. vestitum (Wimm. & Grab.) Petr. Ex Arènes, 1954, Cirsium arvense subsp. vestitum Wimm. & Grab., Cirsium arvense var. argentatum (Vest.) Fioni, Cirsium arvense var. argenteum Bréb., 1869, Cirsium arvense var. argenteum Treuinf., 1875, Cirsium arvense var. decurrens Wallr., 1840, Cirsium arvense var. discolor Neilr., 1850, Cirsium arvense var. horridum Wimm. &"" ""Grab., Cirsium arvense var. incanum Beck, Cirsium arvense var. malhoi Giraudias, 1890, Cirsium arvense var. spinosissimum Neilr., 1859, Cirsium arvense var. subalatum (Ledeb.) Ledeb., Cirsium arvense var. tomentosum Becker, 1828, Cirsium bebearnense Gand., 1884, Cirsium dioicum Cass., Cirsium halophilum Turcz., Cirsium halophium Turcz. ex Herder, Cirsium horridum (Wimm. & Grab.) Stakov, Cirsium incanum Bieb., Cirsium lanatum Spreng., Cirsium setosum (Willd.) Bieb., Cirsium ochrolepidium Juz., Cirsium praealtum Cass., Cirsium rubricaule Novopokr., Cirsium ruthenicum Fisch., Cirsium serratuloides Neck.,"" ""Cirsium setosum f. albiflorum Kitag., Cirsium setosum var. setosum, Cirsium setosum var. subalatum Ledeb., Cirsium sordidum Wallr., Cirsium stocksii Boiss., Cirsium × celakovskianum Knaf, Cirsium × rakosdense Simonk., 1904, Cnicus arvensis (L.) G.Gaertn. et al., 1801, Cnicus arvensis (L.) Hoffm., Cnicus arvensis (L.) Roth, Cnicus arvensis f. albiflorus E.L.Rand & Redfield, Cnicus arvensis f. arvensis, Cnicus arvensis subsp. microstylon (Rchb.) Arcang., 1882, Cnicus arvensis var. arvensis, Cnicus candicans Wall., Cnicus macrostylus Moretti, Cnicus ruthenicus Henning, Cynara repens Stokes, Ixine"" ""arvensis (L.) Hill, Saussurea pungens (DC.) Sch.Bip., Serratula arvensis L., Serratula campestris Schweigg., Serratula campestris Schweigg. ex DC., Serratula complanata Schweigg., Serratula lanata Poir., Serratula spinosa Gilib., Cnicus arvensis Hoffm.); Asteraceae; California thistle, Canada thistle, creeping thistle, field thistle"" ","""Africa: Algeria, Angola, Eswatini, Réunion, South Africa, Sudan,"" ""Tunisia, Zimbabwe America: Alaska, Argentina, Brazil, Canada, Chile, Falkland Islands, Hawaii, Jamaica, Mexico, Panama, Paraguay, Uruguay, USA Antarctica: French Southern Territories Asia: Afghanistan, Armenia, Azerbaijan,  Bangladesh, Bhutan, China, DPR Korea (North Korea), Georgia, India, Iran, Japan, Kazakhstan, Kyrgyzstan, Lebanon, Mongolia, Nepal, Pakistan, Republic of Korea (South Korea), Tajikistan, Turkey, Turkmenistan, Uzbekistan Europe: Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Czechoslovakia, Denmark, Estonia, Finland,"" ""France, Germany, Greece, Hungary, Iceland, Ireland, Isle of Man,  Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxemburg, Republic of Moldova, North Macedonia, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Serbia and Montenegro, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom, Yugoslavia Oceania: Australia, New Zealand"" "
